[ 2026-05-14 15:12:52,430 ] 19 root - INFO - Initiate the data ingestion.
[ 2026-05-14 15:13:03,466 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-05-14 15:13:03,466 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-14 15:13:03,466 ] 79 root - INFO - Exporting train and test file path.
[ 2026-05-14 15:13:03,503 ] 88 root - INFO - Exported train and test file path.
[ 2026-05-14 15:13:03,506 ] 26 root - INFO - Initiate the data validation.
[ 2026-05-14 15:13:03,540 ] 33 root - INFO - Required number of columns:31
[ 2026-05-14 15:13:03,540 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-14 15:13:03,541 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-14 15:13:03,541 ] 33 root - INFO - Required number of columns:31
[ 2026-05-14 15:13:03,541 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-14 15:13:03,541 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-14 15:13:03,647 ] 29 root - INFO - data Validation Completed
[ 2026-05-14 15:13:03,647 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-14 15:13:03,647 ] 67 root - INFO - Starting data transformation
[ 2026-05-14 15:13:03,661 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-14 15:13:03,661 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-14 15:13:04,591 ] 81 root - INFO - \U0001f680 Training started: Decision Tree
[ 2026-05-14 15:13:09,012 ] 104 root - INFO - Decision Tree | Train Score: 0.9614 | Test Score: 0.8452
[ 2026-05-14 15:13:09,012 ] 81 root - INFO - \U0001f680 Training started: Gradient Boosting
[ 2026-05-14 15:13:13,748 ] 104 root - INFO - Gradient Boosting | Train Score: 0.9348 | Test Score: 0.8889
[ 2026-05-14 15:13:13,748 ] 81 root - INFO - \U0001f680 Training started: Logistic Regression
[ 2026-05-14 15:13:14,589 ] 104 root - INFO - Logistic Regression | Train Score: 0.7163 | Test Score: 0.7196
[ 2026-05-14 15:13:14,589 ] 81 root - INFO - \U0001f680 Training started: XGBClassifier
[ 2026-05-14 15:13:16,315 ] 104 root - INFO - XGBClassifier | Train Score: 0.9527 | Test Score: 0.9017
[ 2026-05-14 15:13:16,315 ] 81 root - INFO - \U0001f680 Training started: CatBoost Classifier
[ 2026-05-14 15:13:23,507 ] 104 root - INFO - CatBoost Classifier | Train Score: 0.9183 | Test Score: 0.8780
[ 2026-05-14 15:13:23,507 ] 81 root - INFO - \U0001f680 Training started: AdaBoost Classifier
[ 2026-05-14 15:13:26,102 ] 104 root - INFO - AdaBoost Classifier | Train Score: 0.7369 | Test Score: 0.7469
[ 2026-05-14 15:13:26,102 ] 81 root - INFO - \U0001f680 Training started: Random Forest
[ 2026-05-14 15:13:33,408 ] 104 root - INFO - Random Forest | Train Score: 0.9532 | Test Score: 0.8926
[ 2026-05-14 15:13:33,408 ] 81 root - INFO - \U0001f680 Training started: KNeighborsClassifier
[ 2026-05-14 15:13:37,465 ] 104 root - INFO - KNeighborsClassifier | Train Score: 0.9614 | Test Score: 0.8270
[ 2026-05-14 15:13:37,465 ] 81 root - INFO - \U0001f680 Training started: SVM
[ 2026-05-14 15:13:58,689 ] 104 root - INFO - SVM | Train Score: 0.8705 | Test Score: 0.8197
[ 2026-05-14 15:14:07,898 ] 203 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_14_2026_15_12_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9874333970041218, precision_score=0.9851554663991976, recall_score=0.9897218863361548), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9745302713987474, precision_score=0.9725, recall_score=0.9765690376569037))
