[ 2026-05-13 13:49:24,725 ] 19 root - INFO - Initiate the data ingestion.
[ 2026-05-13 13:49:40,032 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-05-13 13:49:40,032 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-13 13:49:40,032 ] 79 root - INFO - Exporting train and test file path.
[ 2026-05-13 13:49:40,068 ] 88 root - INFO - Exported train and test file path.
[ 2026-05-13 13:49:40,071 ] 26 root - INFO - Initiate the data validation.
[ 2026-05-13 13:49:40,101 ] 33 root - INFO - Required number of columns:31
[ 2026-05-13 13:49:40,101 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-13 13:49:40,101 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-13 13:49:40,101 ] 33 root - INFO - Required number of columns:31
[ 2026-05-13 13:49:40,101 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-13 13:49:40,101 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-13 13:49:40,194 ] 30 root - INFO - data Validation Completed
[ 2026-05-13 13:49:40,194 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-13 13:49:40,194 ] 67 root - INFO - Starting data transformation
[ 2026-05-13 13:49:40,207 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-13 13:49:40,208 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-13 13:49:40,753 ] 81 root - INFO - \U0001f680 Training started: Decision Tree
[ 2026-05-13 13:49:45,999 ] 103 root - INFO - Decision Tree | Train Score: 0.9207 | Test Score: 0.8810
[ 2026-05-13 13:49:45,999 ] 81 root - INFO - \U0001f680 Training started: Gradient Boosting
[ 2026-05-13 13:52:24,503 ] 103 root - INFO - Gradient Boosting | Train Score: 0.9454 | Test Score: 0.8993
[ 2026-05-13 13:52:24,503 ] 81 root - INFO - \U0001f680 Training started: Logistic Regression
[ 2026-05-13 13:52:50,926 ] 103 root - INFO - Logistic Regression | Train Score: 0.7167 | Test Score: 0.7145
[ 2026-05-13 13:52:50,926 ] 81 root - INFO - \U0001f680 Training started: XGBClassifier
[ 2026-05-13 14:05:30,913 ] 103 root - INFO - XGBClassifier | Train Score: 0.9551 | Test Score: 0.9103
[ 2026-05-13 14:05:30,913 ] 81 root - INFO - \U0001f680 Training started: CatBoost Classifier
[ 2026-05-13 14:13:03,646 ] 103 root - INFO - CatBoost Classifier | Train Score: 0.9555 | Test Score: 0.9030
[ 2026-05-13 14:13:03,646 ] 81 root - INFO - \U0001f680 Training started: AdaBoost Classifier
