[ 2026-05-13 20:23:19,782 ] 19 root - INFO - Initiate the data ingestion.
[ 2026-05-13 20:23:36,566 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-05-13 20:23:36,566 ] 71 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-13 20:23:36,566 ] 79 root - INFO - Exporting train and test file path.
[ 2026-05-13 20:23:36,603 ] 88 root - INFO - Exported train and test file path.
[ 2026-05-13 20:23:36,614 ] 26 root - INFO - Initiate the data validation.
[ 2026-05-13 20:23:36,649 ] 33 root - INFO - Required number of columns:31
[ 2026-05-13 20:23:36,649 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-13 20:23:36,650 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-13 20:23:36,650 ] 33 root - INFO - Required number of columns:31
[ 2026-05-13 20:23:36,650 ] 34 root - INFO - Data frame has columns:31
[ 2026-05-13 20:23:36,650 ] 38 root - INFO - Numbers of columns are valid.
[ 2026-05-13 20:23:36,745 ] 30 root - INFO - data Validation Completed
[ 2026-05-13 20:23:36,745 ] 65 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-13 20:23:36,745 ] 67 root - INFO - Starting data transformation
[ 2026-05-13 20:23:36,760 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-13 20:23:36,760 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-13 20:23:37,669 ] 81 root - INFO - \U0001f680 Training started: Decision Tree
[ 2026-05-13 20:23:43,109 ] 103 root - INFO - Decision Tree | Train Score: 0.9583 | Test Score: 0.8474
[ 2026-05-13 20:23:43,109 ] 81 root - INFO - \U0001f680 Training started: Gradient Boosting
[ 2026-05-13 20:26:40,898 ] 103 root - INFO - Gradient Boosting | Train Score: 0.9505 | Test Score: 0.8805
[ 2026-05-13 20:26:40,899 ] 81 root - INFO - \U0001f680 Training started: Logistic Regression
[ 2026-05-13 20:27:11,399 ] 103 root - INFO - Logistic Regression | Train Score: 0.7170 | Test Score: 0.6986
[ 2026-05-13 20:27:11,399 ] 81 root - INFO - \U0001f680 Training started: XGBClassifier
[ 2026-05-13 20:40:06,979 ] 103 root - INFO - XGBClassifier | Train Score: 0.9565 | Test Score: 0.8860
[ 2026-05-13 20:40:06,979 ] 81 root - INFO - \U0001f680 Training started: CatBoost Classifier
[ 2026-05-13 20:47:33,276 ] 103 root - INFO - CatBoost Classifier | Train Score: 0.9501 | Test Score: 0.8916
[ 2026-05-13 20:47:33,276 ] 81 root - INFO - \U0001f680 Training started: AdaBoost Classifier
[ 2026-05-13 20:47:36,620 ] 103 root - INFO - AdaBoost Classifier | Train Score: 0.7408 | Test Score: 0.6967
[ 2026-05-13 20:47:36,621 ] 81 root - INFO - \U0001f680 Training started: Random Forest
[ 2026-05-13 21:27:39,508 ] 103 root - INFO - Random Forest | Train Score: 0.9583 | Test Score: 0.8897
[ 2026-05-13 21:27:39,508 ] 81 root - INFO - \U0001f680 Training started: KNeighborsClassifier
[ 2026-05-13 21:30:03,910 ] 103 root - INFO - KNeighborsClassifier | Train Score: 0.9583 | Test Score: 0.8732
[ 2026-05-13 21:30:03,911 ] 81 root - INFO - \U0001f680 Training started: SVM
