iter	Logloss
0	0.5274782427
1	0.414470036
2	0.3452259687
3	0.2966107076
4	0.2628309094
5	0.2424294046
6	0.2256360272
7	0.2108309438
8	0.2002280661
9	0.1928759799
10	0.1844911683
11	0.177933105
12	0.1720865389
13	0.1686498538
14	0.1657933477
15	0.1617474153
16	0.1579828905
17	0.1552443968
18	0.1518462762
19	0.1499585756
20	0.1475664585
21	0.1448263913
22	0.1427536252
23	0.1406018668
24	0.137981841
25	0.1363589159
26	0.1338937967
27	0.1319439982
28	0.1307139231
29	0.1292851317
30	0.1275492461
31	0.1261157066
32	0.1245637822
33	0.1235809671
34	0.1225794219
35	0.1211048197
36	0.1200514042
37	0.1191669742
38	0.1182612605
39	0.1170440356
40	0.1159876664
41	0.1145377709
42	0.1132568677
43	0.1119569514
44	0.1109748471
45	0.1096019633
46	0.1083500179
47	0.1076174373
48	0.1064443325
49	0.1056521936
50	0.1049875426
51	0.1039685371
52	0.103230256
53	0.1025335
54	0.1017450948
55	0.1011600779
56	0.1003875801
57	0.09937829165
58	0.09884023127
59	0.09820331658
60	0.09712403503
61	0.09662290355
62	0.09615568509
63	0.09549438118
64	0.09502501641
65	0.0944836227
66	0.09384385777
67	0.09334134603
68	0.09287092536
69	0.09223655725
70	0.09165980125
71	0.09100766917
72	0.09050993313
73	0.08993108604
74	0.08933259782
75	0.08901861597
76	0.08856785022
77	0.08829390976
78	0.08784523511
79	0.08745567705
80	0.08703505621
81	0.08657229599
82	0.08630656118
83	0.08599368354
84	0.08549820422
85	0.08490217287
86	0.08446503031
87	0.08389576912
88	0.08341968248
89	0.08304167721
90	0.08263457603
91	0.08231779225
92	0.08196612927
93	0.08157558433
94	0.08074932538
95	0.08015123744
96	0.07968342547
97	0.07922559278
98	0.07896625548
99	0.07855132132
100	0.07823640779
101	0.07761577328
102	0.07708569082
103	0.07664332396
104	0.07632849325
105	0.07604977018
106	0.07564821765
107	0.07523361475
108	0.07489155149
109	0.07464907408
110	0.07438715569
111	0.07406722491
112	0.07380250459
113	0.07353122803
114	0.07325393352
115	0.07305531392
116	0.0727990684
117	0.07263564546
118	0.07241091131
119	0.07211124967
120	0.07173416918
121	0.07140351377
122	0.07103579835
123	0.07070775164
124	0.07048368001
125	0.07009788316
126	0.06982916009
127	0.06959908432
128	0.06928511628
129	0.06895545466
130	0.06846118308
131	0.06805242558
132	0.0677926673
133	0.06755618713
134	0.06731367521
135	0.06704905841
136	0.06681746436
137	0.06659881026
138	0.06632234391
139	0.0660048286
140	0.06580953542
141	0.0653916544
142	0.06506553315
143	0.06481708611
144	0.06452922571
145	0.06432991597
146	0.06417082015
147	0.06391667263
148	0.06368901232
149	0.06354937129
150	0.06322875038
151	0.06290946833
152	0.06271225659
153	0.06258627323
154	0.06242797106
155	0.06227327137
156	0.0620193654
157	0.0613892623
158	0.06118690218
159	0.06076239591
160	0.06054644022
161	0.06021636452
162	0.06004276215
163	0.05988425294
164	0.05973359742
165	0.05960196189
166	0.05940066458
167	0.0592930456
168	0.05910577174
169	0.05900404648
170	0.0588779044
171	0.05865008537
172	0.05835423325
173	0.05819979581
174	0.05791281187
175	0.05769805356
176	0.0575258418
177	0.05734529672
178	0.05727632506
179	0.05711114919
180	0.05672534544
181	0.056581467
182	0.05648437942
183	0.05625339958
184	0.05617931751
185	0.05607617058
186	0.05596700571
187	0.05570263045
188	0.05553008743
189	0.05528444232
190	0.05511971503
191	0.05496462887
192	0.05485974281
193	0.05467618186
194	0.05457521229
195	0.05443302812
196	0.05430018142
197	0.05409661012
198	0.05396547839
199	0.05387534733
